skill,primary_category,categories,description,source_site,source_repo,category_count,duplicated_across_categories
gh-issue-triage,Blockchain,['Blockchain'],"Label taxonomy and triage workflow for GitHub issues. Defines type labels (bug/feature/enhancement/docs/chore), priority levels (critical/high/medium/low), status labels, and triage decision workflow. Use when categorizing and prioritizing issues.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
web-test-wallet-setup,Blockchain,['Blockchain'],"Set up MetaMask wallet extension for Web3 DApp testing - download extension, import wallet from private key. Run at test start if tests/config.yaml has web3.enabled=true.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
web-test-wallet-sign,Blockchain,['Blockchain'],"Handle MetaMask signature and transaction popups during Web3 DApp testing - approve signatures, send transactions, call contracts. Detects popup type and handles gas errors.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
alignment-review,Code Review,['Code Review'],"Review code changes for bugs and alignment with OpenEnv principles and RFCs. Use when reviewing PRs, checking code before commit, or when asked to review changes. Implements two-tier review model.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
clay-known-pitfalls,Code Review,['Code Review'],"Identify and avoid Clay anti-patterns and common integration mistakes. Use when reviewing Clay code for issues, onboarding new developers, or auditing existing Clay integrations for best practices violations. Trigger with phrases like ""clay mistakes"", ""clay anti-patterns"", ""clay pitfalls"", ""clay what not to do"", ""clay code review"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
code-quality-analysis-with-pmat,Code Review,['Code Review'],"Analyzes code quality, complexity, and technical debt using PMAT (Pragmatic AI Labs MCP Agent Toolkit).",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
dyadmulti-pr-review,Code Review,['Code Review'],Multi-agent code review system that spawns three independent Claude sub-agents to review PR diffs. Each agent receives files in different randomized order to reduce ordering bias. Issues are classified as high/medium/low severity. Results are aggregated using consensus voting - only issues identified by 2+ agents where at least one rated it medium or higher severity are reported and posted as PR comments.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
fix-pr,Code Review,['Code Review'],Review a CodeRabbit PR comment and produce an action plan when prompted to analyze a review comment.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
loki-mode,Code Review,['Code Review'],"Multi-agent autonomous startup system for Claude Code. Triggers on ""Loki Mode"". Orchestrates 100+ specialized agents across engineering, QA, DevOps, security, data/ML, business operations, marketing, HR, and customer success. Takes PRD to fully deployed, revenue-generating product with zero human intervention.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
octocode-pr-review,Code Review,['Code Review'],"PR review for bugs, security & quality (requires PR URL)",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
pair-programming,Code Review,['Code Review'],"AI-assisted pair programming with multiple modes (driver/navigator/switch), real-time verification, quality monitoring, and comprehensive testing. Supports TDD, debugging, refactoring, and learning sessions. Features automatic role switching, continuous code review, security scanning, and performance optimization with truth-score verification.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
pr-create-from-body,Code Review,['Code Review'],Creates a GitHub Pull Request for the VChart project using a local markdown file as its body. This skill exclusively uses a logged-in `gh` CLI environment to operate.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
pr-review-reply,Code Review,['Code Review'],Reply to and resolve GitHub PR review comments using the GitHub CLI and GraphQL API.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
prowler-pr,Code Review,['Code Review'],"Creates Pull Requests for Prowler following the project template and conventions. Trigger: When working on pull request requirements or creation (PR template sections, PR title Conventional Commits check, changelog gate/no-changelog label), or when inspecting PR-related GitHub workflows like conventional-commit.yml, pr-check-changelog.yml, pr-conflict-checker.yml, labeler.yml, or CODEOWNERS.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
reviewing-changes,Code Review,['Code Review'],"Guides Android code reviews with type-specific checklists and MVVM/Compose pattern validation. Use when reviewing Android PRs, pull requests, diffs, or local changes involving Kotlin, ViewModel, Composable, Repository, or Gradle files. Triggered by ""review PR"", ""review changes"", ""check this code"", ""Android review"", or code review requests mentioning bitwarden/android.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
swiftui-performance-audit,Code Review,['Code Review'],"Audit and improve SwiftUI runtime performance from code review and architecture. Use for requests to diagnose slow rendering, janky scrolling, high CPU/memory usage, excessive view updates, or layout thrash in SwiftUI apps, and to provide guidance for user-run Instruments profiling when code review alone is insufficient.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
vercel-known-pitfalls,Code Review,['Code Review'],"Execute identify and avoid Vercel anti-patterns and common integration mistakes. Use when reviewing Vercel code for issues, onboarding new developers, or auditing existing Vercel integrations for best practices violations. Trigger with phrases like ""vercel mistakes"", ""vercel anti-patterns"", ""vercel pitfalls"", ""vercel what not to do"", ""vercel code review"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
windsurf-known-pitfalls,Code Review,['Code Review'],"Identify and avoid Windsurf anti-patterns and common integration mistakes. Use when reviewing Windsurf code for issues, onboarding new developers, or auditing existing Windsurf integrations for best practices violations. Trigger with phrases like ""windsurf mistakes"", ""windsurf anti-patterns"", ""windsurf pitfalls"", ""windsurf what not to do"", ""windsurf code review"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
docstring,Data Science,['Data Science'],Write docstrings for PyTorch functions and methods following PyTorch conventions. Use when writing or updating docstrings in PyTorch code.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
pyhealth,Data Science,['Data Science'],"Comprehensive healthcare AI toolkit for developing, testing, and deploying machine learning models with clinical data. This skill should be used when working with electronic health records (EHR), clinical prediction tasks (mortality, readmission, drug recommendation), medical coding systems (ICD, NDC, ATC), physiological signals (EEG, ECG), healthcare datasets (MIMIC-III/IV, eICU, OMOP), or implementing deep learning models for healthcare applications (RETAIN, SafeDrug, Transformer, GNN).",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
pytdc,Data Science,['Data Science'],"Therapeutics Data Commons. AI-ready drug discovery datasets (ADME, toxicity, DTI), benchmarks, scaffold splits, molecular oracles, for therapeutic ML and pharmacological prediction.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
pytorch-lightning,Data Science,"['Data Science', 'Observability']","Deep learning framework (PyTorch Lightning). Organize PyTorch code into LightningModules, configure Trainers for multi-GPU/TPU, implement data pipelines, callbacks, logging (W&B, TensorBoard), distributed training (DDP, FSDP, DeepSpeed), for scalable neural network training.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
quantizing-models-bitsandbytes,Data Science,['Data Science'],"Quantizes LLMs to 8-bit or 4-bit for 50-75% memory reduction with minimal accuracy loss. Use when GPU memory is limited, need to fit larger models, or want faster inference. Supports INT8, NF4, FP4 formats, QLoRA training, and 8-bit optimizers. Works with HuggingFace Transformers.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
ray-data,Data Science,['Data Science'],"Scalable data processing for ML workloads. Streaming execution across CPU/GPU, supports Parquet/CSV/JSON/images. Integrates with Ray Train, PyTorch, TensorFlow. Scales from single machine to 100s of nodes. Use for batch inference, data preprocessing, multi-modal data loading, or distributed ETL pipelines.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
simpo-training,Data Science,"['Data Science', 'Performance']","Simple Preference Optimization for LLM alignment. Reference-free alternative to DPO with better performance (+6.4 points on AlpacaEval 2.0). No reference model needed, more efficient than DPO. Use for preference alignment when want simpler, faster training than DPO/PPO.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
skypilot-multi-cloud-orchestration,Data Science,"['Data Science', 'Performance']","Multi-cloud orchestration for ML workloads with automatic cost optimization. Use when you need to run training or batch jobs across multiple clouds, leverage spot instances with auto-recovery, or optimize GPU costs across providers.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
torchdrug,Data Science,['Data Science'],"Graph-based drug discovery toolkit. Molecular property prediction (ADMET), protein modeling, knowledge graph reasoning, molecular generation, retrosynthesis, GNNs (GIN, GAT, SchNet), 40+ datasets, for PyTorch-based ML on molecules, proteins, and biomedical graphs.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
website-maintainer,Data Science,['Data Science'],"Use this skill when working on the Repomix documentation website in `website/` directory, including VitePress configuration, multi-language content, or translation workflows.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
gitops-workflow,DevOps,"['DevOps', 'Tooling']","Implement GitOps workflows with ArgoCD and Flux for automated, declarative Kubernetes deployments with continuous reconciliation. Use when implementing GitOps practices, automating Kubernetes deployments, or setting up declarative infrastructure management.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
managing-devops-pipeline,DevOps,['DevOps'],"Manage BlueKing CI pipeline build operations, including querying build history, retrieving startup parameters, checking build status, and triggering builds. Use when the user mentions pipelines, builds, deployments, CI/CD, BlueKing, or needs to trigger a build job.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
opentelemetry-instrumentation-extension,DevOps,['DevOps'],"Extend OpenTelemetry instrumentation when new functionality is added to the MCP Gateway. Use when (1) new operations/functions are added, (2) reviewing code for missing instrumentation, (3) user requests otel/telemetry additions, or (4) working with state-changing operations.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
readme-generator,DevOps,['DevOps'],"Readme Generator - Auto-activating skill for DevOps Basics. Triggers on: readme generator, readme generator Part of the DevOps Basics skill category.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
ssh-key-manager,DevOps,['DevOps'],"Manage ssh key manager operations. Auto-activating skill for DevOps Basics. Triggers on: ssh key manager, ssh key manager Part of the DevOps Basics skill category. Use when working with ssh key manager functionality. Trigger with phrases like ""ssh key manager"", ""ssh manager"", ""ssh"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
terraform-provider-config,DevOps,['DevOps'],"Configure terraform provider config operations. Auto-activating skill for DevOps Advanced. Triggers on: terraform provider config, terraform provider config Part of the DevOps Advanced skill category. Use when configuring systems or services. Trigger with phrases like ""terraform provider config"", ""terraform config"", ""terraform"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
terraform-state-manager,DevOps,['DevOps'],"Terraform State Manager - Auto-activating skill for DevOps Advanced. Triggers on: terraform state manager, terraform state manager Part of the DevOps Advanced skill category.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
version-bumper,DevOps,['DevOps'],"Manage version bumper operations. Auto-activating skill for DevOps Basics. Triggers on: version bumper, version bumper Part of the DevOps Basics skill category. Use when working with version bumper functionality. Trigger with phrases like ""version bumper"", ""version bumper"", ""version"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
yaml-config-validator,DevOps,['DevOps'],"Yaml Config Validator - Auto-activating skill for DevOps Basics. Triggers on: yaml config validator, yaml config validator Part of the DevOps Basics skill category.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
add-uint-support,Frontend Development,['Frontend Development'],"Add unsigned integer (uint) type support to PyTorch operators by updating AT_DISPATCH macros. Use when adding support for uint16, uint32, uint64 types to operators, kernels, or when user mentions enabling unsigned types, barebones unsigned types, or uint support.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
command-development,Frontend Development,['Frontend Development'],"This skill should be used when the user asks to ""create a slash command"", ""add a command"", ""write a custom command"", ""define command arguments"", ""use command frontmatter"", ""organize commands"", ""create command with file references"", ""interactive command"", ""use AskUserQuestion in command"", or needs guidance on slash command structure, YAML frontmatter fields, dynamic arguments, bash execution in commands, user interaction patterns, or command development best practices for Claude Code.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
implementing-agent-modes,Frontend Development,"['Frontend Development', 'Tooling']","Guidelines to create/update a new mode for PostHog AI agent. Modes are a way to limit what tools, prompts, and prompt injections are applied and under what conditions. Achieve better results using your plan mode.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
istio-traffic-management,Frontend Development,['Frontend Development'],"Configure Istio traffic management including routing, load balancing, circuit breakers, and canary deployments. Use when implementing service mesh traffic policies, progressive delivery, or resilience patterns.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
ml-pipeline-workflow,Frontend Development,"['Frontend Development', 'Tooling']","Build end-to-end MLOps pipelines from data preparation through model training, validation, and production deployment. Use when creating ML pipelines, implementing MLOps practices, or automating model training and deployment workflows.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
nextjs-app-router-patterns,Frontend Development,['Frontend Development'],"Master Next.js 14+ App Router with Server Components, streaming, parallel routes, and advanced data fetching. Use when building Next.js applications, implementing SSR/SSG, or optimizing React Server Components.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
nft-standards,Frontend Development,['Frontend Development'],"Implement NFT standards (ERC-721, ERC-1155) with proper metadata handling, minting strategies, and marketplace integration. Use when creating NFT contracts, building NFT marketplaces, or implementing digital asset systems.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
risk-metrics-calculation,Frontend Development,"['Frontend Development', 'Observability']","Calculate portfolio risk metrics including VaR, CVaR, Sharpe, Sortino, and drawdown analysis. Use when measuring portfolio risk, implementing risk limits, or building risk monitoring systems.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
wcag-audit-patterns,Frontend Development,['Frontend Development'],"Conduct WCAG 2.2 accessibility audits with automated testing, manual verification, and remediation guidance. Use when auditing websites for accessibility, fixing WCAG violations, or implementing accessible design patterns.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
writing-dev-server-tests,Frontend Development,['Frontend Development'],"Guides writing HMR/Dev Server tests in test/bake/. Use when creating or modifying dev server, hot reloading, or bundling tests.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
dbt-projects-on-snowflake,Infrastructure,['Infrastructure'],"Deploying, managing, executing, and monitoring dbt projects natively within Snowflake using dbt PROJECT objects and event tables. Use this skill when you want to set up dbt development workspaces, deploy projects to Snowflake, schedule automated runs, monitor execution with event tables, or enable team collaboration directly in Snowflake.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
delegation-core,Infrastructure,['Infrastructure'],"Delegate tasks to external LLM services (Gemini, Qwen) with quota, logging, and error handling.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
etl-core-patterns,Infrastructure,['Infrastructure'],"Core ETL reliability patterns including idempotency, checkpointing, error handling, chunking, retry logic, and logging.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
linear-data-handling,Infrastructure,['Infrastructure'],"Data synchronization, backup, and consistency patterns for Linear. Use when implementing data sync, creating backups, or ensuring data consistency across systems. Trigger with phrases like ""linear data sync"", ""backup linear"", ""linear data consistency"", ""sync linear issues"", ""linear data export"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
logcli-logs,Infrastructure,['Infrastructure'],"Query and analyze logs from Grafana Loki using logcli. Use when the user mentions Loki, Grafana logs, logcli, or LogQL. Triggers on phrases like ""query loki"", ""loki logs"", ""grafana logs"", ""use logcli"", ""LogQL query"", or when explicitly asked to search logs using Loki/Grafana infrastructure.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
market-signal-tracker,Infrastructure,['Infrastructure'],"Operating system for logging market/competitive signals with severity, confidence, and routing.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
master-plan-manager,Infrastructure,['Infrastructure'],"Safe MASTER_PLAN.md management with backup, validation, and intelligent updates. Use when updating task tracking, adding features to roadmap, or modifying project documentation.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
openrouter-debug-bundle,Infrastructure,['Infrastructure'],"Execute set up comprehensive logging and debugging for OpenRouter. Use when investigating issues or monitoring requests. Trigger with phrases like 'openrouter debug', 'openrouter logging', 'openrouter trace', 'monitor openrouter'.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
orchestrator,Infrastructure,['Infrastructure'],"Plan and coordinate multi-agent bead execution. Use when starting a new epic, assigning tracks to agents, or monitoring parallel work progress.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
spark-optimization,Infrastructure,"['Infrastructure', 'Performance']","Optimize Apache Spark jobs with partitioning, caching, shuffle optimization, and memory tuning. Use when improving Spark performance, debugging slow jobs, or scaling data processing pipelines.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
android-kotlin,Mobile Development,['Mobile Development'],"Android Kotlin development with Coroutines, Jetpack Compose, Hilt, and MockK testing",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
creating-data-visualizations,Mobile Development,['Mobile Development'],"This skill enables Claude to generate data visualizations, plots, charts, and graphs from provided data. It analyzes the data, selects the most appropriate visualization type, and creates a visually appealing and informative graphic. Use this skill when the user requests a visualization, plot, chart, or graph; when data needs to be presented visually; or when exploring data patterns. The skill is triggered by requests for ""visualization"", ""plot"", ""chart"", or ""graph"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
effect-patterns-platform-getting-started,Mobile Development,['Mobile Development'],Effect-TS patterns for Platform Getting Started. Use when working with platform getting started in Effect-TS applications.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
generating-end-to-end-tests,Mobile Development,['Mobile Development'],"This skill enables Claude to generate end-to-end (E2E) tests for web applications. It leverages Playwright, Cypress, or Selenium to automate browser interactions and validate user workflows. Use this skill when the user requests to ""create E2E tests"", ""generate end-to-end tests"", or asks for help with ""browser-based testing"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
granola-deploy-integration,Mobile Development,['Mobile Development'],"Deploy Granola integrations to Slack, Notion, HubSpot, and other apps. Use when connecting Granola to productivity tools, setting up native integrations, or configuring auto-sync. Trigger with phrases like ""granola slack"", ""granola notion"", ""granola hubspot"", ""granola integration"", ""connect granola"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
profiling-application-performance,Mobile Development,['Mobile Development'],"This skill enables Claude to profile application performance, analyzing CPU usage, memory consumption, and execution time. It is triggered when the user requests performance analysis, bottleneck identification, or optimization recommendations. The skill uses the application-profiler plugin to identify performance bottlenecks and suggest code-level optimizations. Use it when asked to ""profile application"", ""analyze performance"", or ""find bottlenecks"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
sast-configuration,Mobile Development,"['Mobile Development', 'Tooling']","Configure Static Application Security Testing (SAST) tools for automated vulnerability detection in application code. Use when setting up security scanning, implementing DevSecOps practices, or automating code vulnerability detection.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
single-cell-cellphonedb-communication-mapping,Mobile Development,['Mobile Development'],Run omicverse's CellPhoneDB v5 wrapper on annotated single-cell data to infer ligand-receptor networks and produce CellChat-style visualisations.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
stride-analysis-patterns,Mobile Development,['Mobile Development'],"Apply STRIDE methodology to systematically identify threats. Use when analyzing system security, conducting threat modeling sessions, or creating security documentation.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
web-performance-optimization,Mobile Development,['Mobile Development'],"Optimize website and web application performance including loading speed, Core Web Vitals, bundle size, caching strategies, and runtime performance",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
appinsights-instrumentation,Observability,['Observability'],Instrument a webapp to send useful telemetry data to Azure App Insights,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
cto-advisor,Observability,['Observability'],"Technical leadership guidance for engineering teams, architecture decisions, and technology strategy. Includes tech debt analyzer, team scaling calculator, engineering metrics frameworks, technology evaluation tools, and ADR templates.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
domain-cloud-native,Observability,['Observability'],"Use when building cloud-native applications. Keywords: Kubernetes, k8s, Docker, containers, gRPC, Tonic, microservices, service mesh, observability, tracing, metrics, health checks, cloud, deployment, cloud-native, microservices, containers.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
migrating-to-vendure-dashboard,Observability,['Observability'],Migrates Vendure Admin UI extensions (legacy Angular-based) to the new React Dashboard.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
pyvene-interventions,Observability,['Observability'],"Provides guidance for performing causal interventions on PyTorch models using pyvene's declarative intervention framework. Use when conducting causal tracing, activation patching, interchange intervention training, or testing causal hypotheses about model behavior.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
senior-qa,Observability,['Observability'],"Comprehensive QA and testing skill for quality assurance, test automation, and testing strategies for ReactJS, NextJS, NodeJS applications. Includes test suite generation, coverage analysis, E2E testing setup, and quality metrics. Use when designing test strategies, writing test cases, implementing test automation, performing manual testing, or analyzing test coverage.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
